id,ltv,date
0,0,2020-10-13 05:08:47
3,231,2020-05-02 11:09:15
5,0,2020-11-30 07:43:12
7,55,2020-11-25 05:01:47
10,0,2020-11-30 00:47:28
11,0,2020-10-22 23:26:16
17,378,2020-11-23 22:30:53
23,167,2020-11-28 05:19:02
25,0,2020-11-30 12:30:08
33,0,2020-09-18 07:32:05
34,0,2020-11-29 22:53:25
37,124,2020-11-30 09:21:53
45,91,2020-11-30 09:09:35
46,0,2020-11-30 20:50:25
47,216,2020-10-24 15:42:24
50,24,2020-11-12 06:59:15
53,0,2020-11-30 06:28:32
54,82,2020-11-30 16:16:44
57,0,2020-11-30 18:41:44
58,34,2020-11-30 13:33:49
59,0,2020-11-19 15:22:56
66,89,2020-11-26 19:44:14
67,0,2020-11-29 09:09:33
71,0,2020-11-30 09:17:27
72,0,2020-11-30 21:17:57
74,0,2020-11-30 07:23:27
76,0,2020-11-30 13:35:54
77,0,2020-11-25 07:25:35
86,34,2020-11-30 08:27:53
87,93,2020-11-30 15:43:57
88,0,2020-08-25 09:48:16
92,99,2020-11-10 08:28:46
94,197,2020-11-23 12:57:04
95,0,2020-11-30 19:56:43
101,0,2020-11-10 19:58:14
106,0,2020-11-30 13:34:13
107,18,2020-11-30 00:15:29
109,0,2020-11-05 21:03:23
110,33,2020-11-30 16:21:41
122,0,2020-12-28 09:18:04
123,79,2020-12-28 09:07:35
125,0,2020-12-28 08:11:06
127,0,2020-12-28 17:30:10
128,0,2020-12-08 12:14:34
134,0,2020-12-28 08:26:16
137,0,2020-12-08 12:44:32
138,39,2020-12-08 09:47:40
142,0,2020-12-28 18:47:37
145,19,2020-11-24 09:59:46
147,0,2020-11-04 13:42:35
150,0,2020-12-28 16:42:41
151,0,2020-12-15 07:47:41
152,0,2020-06-18 08:16:23
158,0,2020-12-23 16:49:46
160,0,2020-12-28 09:23:47
165,20,2020-11-07 00:19:34
166,0,2020-11-07 23:27:58
176,52,2020-11-05 03:27:33
181,87,2020-11-07 05:34:45
184,316,2020-08-15 21:29:18
186,1215,2020-09-16 01:46:04
189,0,2020-11-07 13:01:47
190,0,2020-11-07 05:22:06
192,0,2020-10-21 21:04:39
194,0,2020-09-25 05:57:30
199,0,2020-10-21 08:51:53
201,0,2020-11-07 06:39:02
207,0,2020-08-14 11:49:08
212,0,1970-01-01 00:00:00
213,0,2020-11-07 03:34:34
218,0,2020-11-26 03:14:53
220,0,2020-11-06 14:07:51
223,0,2020-11-26 07:46:57
227,0,2020-03-25 09:12:17
